EAA35509 YGL171W_mRNA
ESA42039 YPR194C_mRNA
EAA32868 YLR241W_mRNA
EAA35709 YLR241W_mRNA
EAA33770 YOR175C_mRNA
EAA33267 YMR284W_mRNA
EAA34995 YPR091C_mRNA
EAA35633 YGR208W_mRNA
EAA27795 YBR159W_mRNA
EAA35619 YBR187W_mRNA
EAA35446 YKL125W_mRNA
EAA34867 YDL103C_mRNA
EAA34786 YIR002C_mRNA
EAA31549 YGL030W_mRNA
EAA33438 YPR004C_mRNA
ESA43531 YOL012C_mRNA
ESA43912 YDR437W_mRNA
EAA28645 YDL145C_mRNA
EAA29473 YBR029C_mRNA
ESA43916 YHR122W_mRNA
EAA28839 YCR024C_mRNA
EAA34514 YIL034C_mRNA
EAA32665 YBR086C_mRNA
EAA32069 YMR023C_mRNA
EAA33294 YPR162C_mRNA
EDO65394 YPR187W_mRNA
EAA34009 YMR231W_mRNA
AGG16008 Q0255_mRNA
AGG16002 Q0120_mRNA
AGG16002 Q0105_mRNA
AGG16004 Q0110_mRNA
AGG16004 Q0115_mRNA
AGG16003 Q0110_mRNA
AGG16003 Q0115_mRNA
EAA36434 YPR019W_mRNA
ESA42587 YDL167C_mRNA
ESA43705 YGL240W_mRNA
ESA44083 YCR087C-A_mRNA
EAA35370 YBR135W_mRNA
EAA33268 YOR176W_mRNA
EAA35243 YPL249C-A_mRNA
EAA35243 YMR194W_mRNA
EAA28047 YOR126C_mRNA
EDO65318 YDL136W_mRNA
EDO65318 YDL191W_mRNA
EAA34285 YGR220C_mRNA
EAA28314 YKL007W_mRNA
EAA28119 YKL056C_mRNA
EAA35820 YPR176C_mRNA
EAA28569 YDR280W_mRNA
EAA34851 YNL040W_mRNA
EAA33373 YNL128W_mRNA
ESA43165 YML097C_mRNA
ESA43016 YML097C_mRNA
EAA31962 YHR058C_mRNA
EAA29550 YGR135W_mRNA
ESA42912 YNL088W_mRNA
EAA36431 YGR255C_mRNA
EAA31342 YPL131W_mRNA
EAA27233 YKL041W_mRNA
EAA30003 YHL015W_mRNA
EAA26683 YHR012W_mRNA
EAA33040 YGR261C_mRNA
EAA34571 YAL012W_mRNA
EAA33421 YGL184C_mRNA
EAA27038 YLR303W_mRNA
EAA32317 YDR283C_mRNA
EAA35119 YGR195W_mRNA
EAA33460 YGR158C_mRNA
EAA35803 YPL183C_mRNA
EAA32235 YNL169C_mRNA
EAA27547 YBL092W_mRNA
EAA35214 YKL058W_mRNA
EAA32779 YKL033W-A_mRNA
EDO65236 YPR085C_mRNA
EAA32997 YEL044W_mRNA
EAA27001 YGL080W_mRNA
EAA36402 YGL080W_mRNA
EAA33089 YER112W_mRNA
ESA42458 YER146W_mRNA
EDO65439 YDL166C_mRNA
ESA42736 YPL042C_mRNA
EAA32322 YDL102W_mRNA
ESA43413 YGR019W_mRNA
EAA28366 YLR017W_mRNA
EAA28340 YML104C_mRNA
EAA32668 YML059C_mRNA
EAA33059 YMR243C_mRNA
EAA33059 YOR316C_mRNA
EAA34958 YMR243C_mRNA
EAA34958 YOR316C_mRNA
EAA30072 YOR034C_mRNA
EAA30072 YDR264C_mRNA
EAA33193 YDR363W-A_mRNA
EAA36071 YMR235C_mRNA
EAA32680 YOR286W_mRNA
EAA32680 YOR285W_mRNA
ESA43439 YGR080W_mRNA
ESA44072 YLR023C_mRNA
ESA42857 YLR242C_mRNA
EAA31448 YDL130W_mRNA
EAA31448 YDL081C_mRNA
EAA30828 YBR084C-A_mRNA
EAA30828 YBL027W_mRNA
EAA27064 YHR040W_mRNA
EAA35120 YOR288C_mRNA
EAA31463 YAL015C_mRNA
EAA31463 YOL043C_mRNA
EAA29772 YMR145C_mRNA
EAA29772 YDL085W_mRNA
EAA32649 YML120C_mRNA
EAA29677 YPR127W_mRNA
EAA36376 YPR127W_mRNA
EAA29250 YPR127W_mRNA
EAA32737 YOL165C_mRNA
EAA32737 YCR107W_mRNA
EAA32737 YJR155W_mRNA
EAA32737 YNL331C_mRNA
EAA32737 YDL243C_mRNA
EAA31959 YGL103W_mRNA
EDO65118 YPL244C_mRNA
EAA31097 YJL094C_mRNA
EAA30729 YOL023W_mRNA
EAA27250 YJR048W_mRNA
EAA27250 YEL039C_mRNA
EAA28007 YOR154W_mRNA
EAA30943 YML110C_mRNA
EAA27803 YBR242W_mRNA
EAA27803 YGL101W_mRNA
EAA34492 YHR204W_mRNA
EAA36128 YPR114W_mRNA
EAA36128 YJR116W_mRNA
EAA31729 YNL126W_mRNA
EAA30299 YFL018C_mRNA
EAA35285 YGR112W_mRNA
EAA33464 YOR224C_mRNA
EAA30447 YLR370C_mRNA
EAA34964 YLR109W_mRNA
EAA30049 YDR341C_mRNA
EAA30049 YHR091C_mRNA
EAA35252 YGL044C_mRNA
EAA34119 YOR208W_mRNA
EAA30725 YGR054W_mRNA
EAA35935 YDL028C_mRNA
EAA33216 YDL040C_mRNA
EDO65406 YBR254C_mRNA
EAA33714 YPL198W_mRNA
EAA33714 YGL076C_mRNA
EAA35280 YDR204W_mRNA
EAA35592 YMR143W_mRNA
EAA35592 YDL083C_mRNA
EAA31755 YNL005C_mRNA
EAA35015 YHR203C_mRNA
EAA35015 YJR145C_mRNA
EAA31700 YHR099W_mRNA
EAA30383 YGR277C_mRNA
EAA29876 YKR023W_mRNA
EAA33695 YJL062W_mRNA
EAA29269 YMR281W_mRNA
EAA29928 YGL124C_mRNA
EAA31240 YGR172C_mRNA
ESA43121 YMR102C_mRNA
ESA43121 YKL121W_mRNA
EAA30492 YCL008C_mRNA
EAA27160 YJL068C_mRNA
EAA32126 YLR325C_mRNA
EAA34714 YDL104C_mRNA
ESA43954 YBR170C_mRNA
EAA27934 YPL110C_mRNA
EAA32459 YOL052C_mRNA
EAA26970 YOL087C_mRNA
EAA30475 YIL109C_mRNA
EAA30475 YNL049C_mRNA
EAA35347 YBR037C_mRNA
EAA35347 YBR024W_mRNA
EAA31325 YOR167C_mRNA
EAA31325 YLR264W_mRNA
EAA27715 YER082C_mRNA
EAA32980 YOL080C_mRNA
EAA32840 YBR154C_mRNA
EAA36568 YJR050W_mRNA
ESA42226 YLR427W_mRNA
EAA32278 YLR388W_mRNA
EAA32278 YDL061C_mRNA
EAA31280 YDL082W_mRNA
EAA31280 YMR142C_mRNA
EAA35907 YNR015W_mRNA
EAA28022 YMR259C_mRNA
EAA28005 YGL233W_mRNA
EAA27725 YPR047W_mRNA
EAA29826 YPR100W_mRNA
ESA44038 YPL120W_mRNA
EAA31976 YGL119W_mRNA
EAA30414 YIR026C_mRNA
EAA30559 YDR427W_mRNA
EAA27354 YGR098C_mRNA
EAA34672 YDR386W_mRNA
EAA33962 YPL164C_mRNA
EAA28096 YDL178W_mRNA
EAA28096 YEL071W_mRNA
EAA29525 YCR059C_mRNA
EDO65206 YDL177C_mRNA
EAA35574 YKR016W_mRNA
EAA29552 YOL135C_mRNA
EAA29247 YPL236C_mRNA
EAA32655 YGL231C_mRNA
EAA30560 YMR223W_mRNA
EAA36518 YCL045C_mRNA
EAA29488 YNL313C_mRNA
ESA44291 YPL096W_mRNA
EDO65121 YJR135W-A_mRNA
ESA43345 YPL051W_mRNA
ESA44117 YOL006C_mRNA
EAA33270 YDR305C_mRNA
ESA43685 YIL103W_mRNA
EAA28287 YNL125C_mRNA
EAA33594 YBR111C_mRNA
EAA35473 YBR111C_mRNA
EAA31444 YER120W_mRNA
EAA31444 YBL091C-A_mRNA
ESA44088 YHR175W_mRNA
EAA33306 YDR405W_mRNA
ESA43675 YNL129W_mRNA
EAA30679 YDR282C_mRNA
EAA28916 YFR018C_mRNA
EDO65282 YFR018C_mRNA
EAA31971 YIL048W_mRNA
EAA30734 YGL221C_mRNA
EAA28382 YAR002C-A_mRNA
EAA28382 YGL002W_mRNA
EAA28382 YHR110W_mRNA
EAA29313 YMR118C_mRNA
EAA29313 YKL141W_mRNA
EAA32371 YPR021C_mRNA
EAA28699 YPR021C_mRNA
ESA42367 YPR021C_mRNA
EAA28128 YOR079C_mRNA
EAA26635 YCR002C_mRNA
EAA27451 YMR075W_mRNA
EAA31829 YML032C_mRNA
EAA31661 YDL100C_mRNA
EAA27463 YKL002W_mRNA
EAA35230 YER025W_mRNA
EAA33235 YMR078C_mRNA
EAA33398 YMR213W_mRNA
EAA34332 YLL027W_mRNA
EAA31842 YER107C_mRNA
EAA35581 YCR044C_mRNA
EAA30713 YBR003W_mRNA
EAA32313 YGR173W_mRNA
EAA28039 YAL036C_mRNA
EAA26981 YPR056W_mRNA
EAA32446 YHR189W_mRNA
EAA32637 YDR256C_mRNA
EAA26998 YGR088W_mRNA
EAA28590 YGR088W_mRNA
EAA33302 YML123C_mRNA
EAA32659 YGR271W_mRNA
EAA36222 YER172C_mRNA
EAA32491 YAL035W_mRNA
EAA31052 YGL083W_mRNA
EAA34970 YLR151C_mRNA
EAA36020 YPR107C_mRNA
EAA34727 YDR408C_mRNA
EAA26541 YML105C_mRNA
EAA36461 YOR335C_mRNA
EAA35109 YNL244C_mRNA
EAA33343 YDR525W-A_mRNA
EAA33343 YJL151C_mRNA
EAA33259 YDR276C_mRNA
EAA34485 YJL121C_mRNA
EAA31791 YHL022C_mRNA
EAA31790 YHR072W_mRNA
EAA32674 YDR484W_mRNA
EAA35737 YNL222W_mRNA
EAA29354 YPR189W_mRNA
EAA33272 YDL051W_mRNA
EAA32097 YAR007C_mRNA
ESA43238 YCR048W_mRNA
ESA43238 YNR019W_mRNA
EAA27340 YCR048W_mRNA
EAA27340 YNR019W_mRNA
EAA32064 YCR048W_mRNA
EAA32064 YNR019W_mRNA
ESA42830 YJR084W_mRNA
EAA29827 YDR050C_mRNA
ESA44137 YBL067C_mRNA
ESA44137 YER098W_mRNA
EAA34136 YNL072W_mRNA
ESA43994 YLR059C_mRNA
EAA35936 YDR382W_mRNA
EAA35936 YOL039W_mRNA
EAA32757 YDR076W_mRNA
EAA30040 YML010W_mRNA
EAA30739 YOR289W_mRNA
EAA32973 YCR066W_mRNA
EAA33846 YJR001W_mRNA
EAA33841 YOL127W_mRNA
EAA26707 YER131W_mRNA
EAA26707 YGL189C_mRNA
EAA31833 YOR112W_mRNA
EAA35045 YMR097C_mRNA
EAA31454 YOR298C-A_mRNA
EAA36404 YPR102C_mRNA
EAA36404 YGR085C_mRNA
EAA34614 YEL050C_mRNA
EAA32823 YER136W_mRNA
ESA43214 YOL102C_mRNA
EAA30218 YPL262W_mRNA
EAA29429 YDR477W_mRNA
EAA36253 YMR048W_mRNA
EAA35217 YKL035W_mRNA
EAA28064 YJR105W_mRNA
EAA29371 YJR094W-A_mRNA
EAA29371 YPR043W_mRNA
EAA31372 YNL242W_mRNA
EAA35895 YPR036W_mRNA
EAA31786 YLR105C_mRNA
EAA35725 YBR048W_mRNA
EAA35725 YDR025W_mRNA
ESA42470 YBR123C_mRNA
ESA44410 YKR057W_mRNA
ESA44410 YJL136C_mRNA
EDO65316 YLR039C_mRNA
EAA33545 YJR093C_mRNA
EAA27488 YIL062C_mRNA
EAA27598 YBR080C_mRNA
EAA27281 YDR298C_mRNA
EAA26778 YBL076C_mRNA
EAA29049 YMR039C_mRNA
EDO65431 YDL017W_mRNA
EAA35892 YJL053W_mRNA
ESA43657 YBR133C_mRNA
EAA34198 YCR090C_mRNA
EAA36381 YML036W_mRNA
EAA27970 YNL038W_mRNA
EAA28789 YDR527W_mRNA
EAA29777 YJL097W_mRNA
EAA34286 YMR132C_mRNA
EAA36125 YML071C_mRNA
EAA27793 YBR018C_mRNA
EAA30877 YNL297C_mRNA
EAA27976 YDL236W_mRNA
EAA35258 YOR002W_mRNA
EAA32747 YGR207C_mRNA
EAA27359 YPL178W_mRNA
EAA28269 YGL086W_mRNA
EAA32120 YOL086W-A_mRNA
EAA32925 YLR070C_mRNA
EAA32925 YDL246C_mRNA
EAA32925 YJR159W_mRNA
EAA36300 YLR070C_mRNA
EAA36300 YDL246C_mRNA
EAA36300 YJR159W_mRNA
EAA36547 YLR070C_mRNA
EAA36547 YDL246C_mRNA
EAA36547 YJR159W_mRNA
EAA35571 YLR070C_mRNA
EAA35571 YDL246C_mRNA
EAA35571 YJR159W_mRNA
EAA35640 YLR347C_mRNA
ESA42059 YKR068C_mRNA
EDO64929 YIL007C_mRNA
EAA27678 YHR066W_mRNA
EAA27678 YDR312W_mRNA
EAA32320 YOR164C_mRNA
EAA27546 YLR231C_mRNA
EAA29857 YLR231C_mRNA
EAA34149 YDL238C_mRNA
EAA33231 YDL238C_mRNA
ESA43342 YBR053C_mRNA
EAA31689 YGL173C_mRNA
EAA35457 YMR001C_mRNA
ESA43466 YIL045W_mRNA
ESA43466 YER054C_mRNA
EAA35874 YHL023C_mRNA
EAA26730 YCR027C_mRNA
ESA44024 YDR286C_mRNA
EAA34870 YDR128W_mRNA
EAA27727 YLR348C_mRNA
ESA42145 YOL147C_mRNA
EAA33581 YKL120W_mRNA
EAA32193 YOL071W_mRNA
EAA27522 YEL064C_mRNA
EAA31872 YCL064C_mRNA
EAA35434 YML002W_mRNA
EAA28292 YKL006C-A_mRNA
EAA36484 YJR019C_mRNA
EAA27435 YGR006W_mRNA
EAA28309 YDR068W_mRNA
EAA28388 YHR069C_mRNA
EDO65390 YKL144C_mRNA
ESA42127 YHR164C_mRNA
ESA42009 YNL132W_mRNA
EAA29338 YBR004C_mRNA
EAA30393 YPL247C_mRNA
EAA30034 YLR244C_mRNA
EAA33457 YJR031C_mRNA
EAA33457 YEL022W_mRNA
EAA35691 YDR330W_mRNA
EAA36308 YJL203W_mRNA
ESA43839 YDR500C_mRNA
ESA43839 YLR185W_mRNA
EAA34871 YDR092W_mRNA
ESA43881 YKR035W-A_mRNA
EAA28267 YDL108W_mRNA
EAA31503 YDL108W_mRNA
EAA35579 YAL042W_mRNA
ESA42430 YGL027C_mRNA
ESA44338 YNR035C_mRNA
EAA30287 YOR295W_mRNA
EAA30287 YMR233W_mRNA
EAA27081 YNL185C_mRNA
EAA26850 YPL006W_mRNA
ESA43869 YJL035C_mRNA
ESA44177 YPR062W_mRNA
EAA30480 YGR029W_mRNA
ESA43190 YML077W_mRNA
EAA34591 YDR152W_mRNA
EAA27089 YKR026C_mRNA
EAA34629 YMR227C_mRNA
EAA33363 YGR013W_mRNA
EAA33039 YOL069W_mRNA
EAA28717 YEL012W_mRNA
ESA42960 YGL100W_mRNA
EAA34998 YDR088C_mRNA
EAA26936 YIL064W_mRNA
EAA33334 YFL036W_mRNA
EAA28124 YGL068W_mRNA
EAA30235 YOR336W_mRNA
EAA35835 YIR012W_mRNA
EAA30677 YPR058W_mRNA
EAA33717 YHR165C_mRNA
EAA28671 YGL011C_mRNA
EAA26884 YEL053C_mRNA
EAA26953 YGL236C_mRNA
EAA35621 YNL287W_mRNA
EAA33995 YGR027C_mRNA
EAA33995 YLR333C_mRNA
EAA35862 YFL046W_mRNA
EAA32101 YLR306W_mRNA
ESA44171 YGR188C_mRNA
EAA34094 YGR048W_mRNA
EDO65123 YJR010C-A_mRNA
EAA35578 YDR255C_mRNA
EAA29411 YFL017W-A_mRNA
EAA32731 YNL312W_mRNA
EAA29782 YJL189W_mRNA
ESA43976 YOR004W_mRNA
EAA34818 YLR028C_mRNA
EAA34818 YMR120C_mRNA
ESA43195 YMR274C_mRNA
EAA33333 YGL105W_mRNA
EAA36496 YNL245C_mRNA
EAA27440 YOR067C_mRNA
EAA27925 YOL001W_mRNA
EAA26857 YIL050W_mRNA
EAA26857 YER059W_mRNA
EAA28904 YIL050W_mRNA
EAA28904 YER059W_mRNA
EAA30992 YLL045C_mRNA
EAA30992 YHL033C_mRNA
EAA27714 YBL057C_mRNA
EAA36207 YLR143W_mRNA
EAA31666 YOL097C_mRNA
EAA33340 YOR250C_mRNA
EAA28083 YOR243C_mRNA
EAA27476 YBR276C_mRNA
EAA32250 YDR438W_mRNA
EAA32250 YML018C_mRNA
EAA31953 YGL200C_mRNA
EAA36006 YGL200C_mRNA
ESA42886 YMR035W_mRNA
EAA36159 YGR285C_mRNA
EAA28399 YDR037W_mRNA
EAA36051 YAR018C_mRNA
EAA26539 YER159C_mRNA
EAA30687 YIL051C_mRNA
EAA30687 YER057C_mRNA
EAA34689 YIL051C_mRNA
EAA34689 YER057C_mRNA
ESA42870 YLR418C_mRNA
EAA33716 YMR309C_mRNA
EAA28219 YLR103C_mRNA
ESA44215 YLL041C_mRNA
EAA34801 YOR157C_mRNA
EAA28841 YHR098C_mRNA
EAA33085 YFR031C_mRNA
EAA32904 YPL170W_mRNA
EAA26616 YER156C_mRNA
ESA43167 YOL038W_mRNA
ESA43374 YDR101C_mRNA
ESA43065 YIL065C_mRNA
EAA26671 YHR020W_mRNA
EAA29596 YGL245W_mRNA
ESA43279 YDL142C_mRNA
EAA34876 YDL091C_mRNA
EAA34876 YML013W_mRNA
EAA32305 YJL167W_mRNA
ESA44236 YJL091C_mRNA
EAA28301 YJR102C_mRNA
EDO65281 YMR149W_mRNA
EAA29530 YFR005C_mRNA
EAA33868 YPL002C_mRNA
EAA34214 YGR028W_mRNA
EAA33422 YGR028W_mRNA
EAA30433 YDL174C_mRNA
EAA35013 YDL174C_mRNA
EAA34585 YDL174C_mRNA
EDO65068 YMR077C_mRNA
EAA34093 YHR156C_mRNA
ESA43241 YNL317W_mRNA
EAA29969 YPL149W_mRNA
EAA34673 YEL058W_mRNA
EAA26536 YOR260W_mRNA
EAA32443 YPR025C_mRNA
ESA42585 YHR171W_mRNA
EAA31969 YNL063W_mRNA
EAA29252 YGL156W_mRNA
EAA28360 YOR125C_mRNA
ESA42443 YNL127W_mRNA
EAA34806 YDR469W_mRNA
EAA27456 YML061C_mRNA
EAA27456 YHR031C_mRNA
EAA35622 YHR123W_mRNA
EAA35622 YNL130C_mRNA
ESA44045 YGL243W_mRNA
ESA43245 YOR236W_mRNA
EAA31812 YCL004W_mRNA
EAA35788 YLR403W_mRNA
EAA29927 YDR141C_mRNA
ESA43549 YJL046W_mRNA
ESA43133 YMR004W_mRNA
EAA30926 YJR073C_mRNA
EAA36206 YBL017C_mRNA
EAA36206 YIL173W_mRNA
EAA36206 YJL222W_mRNA
EAA36206 YNR065C_mRNA
EAA36206 YCR099C_mRNA
EAA36206 YCR100C_mRNA
EAA36206 YNR066C_mRNA
EAA36206 YCR101C_mRNA
ESA42489 YHR079C-A_mRNA
EAA29413 YOR197W_mRNA
EAA30484 YOR197W_mRNA
ESA44187 YBL026W_mRNA
ESA42889 YGR060W_mRNA
EAA26674 YPL171C_mRNA
EAA26674 YHR179W_mRNA
EDO65430 YPL008W_mRNA
EAA32824 YPL093W_mRNA
EAA31326 YPL109C_mRNA
ESA43785 YIL083C_mRNA
EAA27943 YJR065C_mRNA
EAA31379 YMR130W_mRNA
EAA27796 YER105C_mRNA
EAA27796 YBL079W_mRNA
EAA36243 YHL031C_mRNA
EAA32879 YBR110W_mRNA
EAA26676 YNL219C_mRNA
EAA27084 YCR036W_mRNA
EAA29766 YDR313C_mRNA
EAA32862 YPR183W_mRNA
ESA41890 YLR167W_mRNA
EAA35279 YMR074C_mRNA
EAA36154 YBR221C_mRNA
EAA29911 YPR133C_mRNA
ESA43554 YBR227C_mRNA
EDO65317 YGL022W_mRNA
EAA32437 YAL049C_mRNA
EAA30075 YAL049C_mRNA
EAA31074 YAL049C_mRNA
EAA33815 YGL187C_mRNA
ESA44390 YMR099C_mRNA
EAA35324 YDR531W_mRNA
EAA32651 YBR173C_mRNA
EAA29352 YJL115W_mRNA
EAA35365 YML130C_mRNA
ESA43526 YIL049W_mRNA
EAA28037 YIL049W_mRNA
ESA41944 YNL227C_mRNA
EAA35310 YLR450W_mRNA
EAA35310 YML075C_mRNA
EAA33768 YGL095C_mRNA
EAA33877 YOR150W_mRNA
EAA31698 YKL022C_mRNA
ESA44221 YBR006W_mRNA
EAA28347 YMR092C_mRNA
EAA32880 YDR205W_mRNA
EAA30403 YPR118W_mRNA
EAA35185 YGR095C_mRNA
EAA33984 YBL071W-A_mRNA
EAA31604 YMR300C_mRNA
EAA35771 YPL126W_mRNA
ESA42891 YOR122C_mRNA
EAA36093 YIL022W_mRNA
EAA35490 YOR196C_mRNA
EAA28538 YPL199C_mRNA
EAA27424 YMR009W_mRNA
EAA28019 YDR196C_mRNA
EAA28442 YLR208W_mRNA
EAA31996 YOR070C_mRNA
ESA43555 YEL011W_mRNA
EAA27666 YDR228C_mRNA
EAA30363 YPR051W_mRNA
ESA43623 YDL171C_mRNA
ESA41844 YLR195C_mRNA
EAA28381 YGR002C_mRNA
EAA31888 YLR275W_mRNA
EAA29014 YLR056W_mRNA
EAA33687 YLR056W_mRNA
EAA26681 YGR218W_mRNA
EAA31855 YDL065C_mRNA
EAA36055 YOR370C_mRNA
EAA29459 YGR267C_mRNA
ESA43408 YBR204C_mRNA
ESA43219 YGL130W_mRNA
EAA26791 YNL148C_mRNA
EAA31950 YMR304W_mRNA
EAA35866 YLR117C_mRNA
EAA35072 YDR140W_mRNA
EAA34633 YDR091C_mRNA
EAA34838 YDL116W_mRNA
EAA35560 YKL213C_mRNA
EAA35719 YMR321C_mRNA
EAA35719 YLL062C_mRNA
EAA35719 YPL273W_mRNA
EAA35485 YNL182C_mRNA
EAA27928 YIL004C_mRNA
EAA30794 YKL191W_mRNA
EAA31390 YHL013C_mRNA
EAA30911 YML093W_mRNA
EAA34500 YBR175W_mRNA
EAA34827 YDR098C_mRNA
EAA34827 YER174C_mRNA
EAA35878 YLR196W_mRNA
EAA27682 YJR072C_mRNA
ESA42481 YKR038C_mRNA
EAA28387 YEL052W_mRNA
EAA27814 YEL052W_mRNA
EAA33520 YJR095W_mRNA
EAA26828 YBR291C_mRNA
EAA30486 YLR383W_mRNA
EAA34017 YJR121W_mRNA
EAA35515 YGR103W_mRNA
EAA27180 YGL142C_mRNA
EAA32976 YDR108W_mRNA
ESA42154 YER162C_mRNA
EAA28339 YDL201W_mRNA
ESA43690 YER102W_mRNA
ESA43690 YBL072C_mRNA
EDO65264 YKL113C_mRNA
EAA32598 YDR066C_mRNA
EAA32598 YER139C_mRNA
EAA26729 YDR023W_mRNA
EAA31417 YCR075C_mRNA
EAA30409 YIR008C_mRNA
EAA28035 YDL004W_mRNA
EAA29899 YPL009C_mRNA
EAA29935 YPL263C_mRNA
EAA32359 YPL086C_mRNA
EAA29458 YJR057W_mRNA
EAA33153 YOR160W_mRNA
EAA31196 YJR113C_mRNA
ESA43619 YMR239C_mRNA
ESA41830 YHL021C_mRNA
EAA32287 YJL101C_mRNA
ESA41793 YMR277W_mRNA
EAA35682 YBR220C_mRNA
EAA35682 YBR219C_mRNA
EAA34382 YOR036W_mRNA
EAA26591 YJL100W_mRNA
ESA42595 YHR051W_mRNA
ESA42591 YLR258W_mRNA
ESA42591 YFR015C_mRNA
EAA34696 YKL193C_mRNA
ESA44299 YKL016C_mRNA
ESA44208 YOL031C_mRNA
EAA33015 YBL105C_mRNA
EAA30733 YGL220W_mRNA
EAA33436 YML042W_mRNA
ESA43351 YNR017W_mRNA
EAA31576 YLR107W_mRNA
EAA34486 YER049W_mRNA
EAA30689 YOR124C_mRNA
EAA28657 YDR052C_mRNA
EAA36124 YDL119C_mRNA
ESA42580 YPL206C_mRNA
EAA30857 YIL112W_mRNA
EAA33461 YER005W_mRNA
EAA36488 YBL095W_mRNA
EAA29384 YBL095W_mRNA
EAA29141 YER182W_mRNA
EAA29037 YGL066W_mRNA
EAA31554 YPL266W_mRNA
EAA28948 YDR165W_mRNA
EDO65042 YLL036C_mRNA
EAA28800 YIL075C_mRNA
EAA30369 YJL133W_mRNA
EAA30369 YKR052C_mRNA
EAA36157 YBR065C_mRNA
EAA35438 YBR088C_mRNA
EAA27612 YNL153C_mRNA
EAA35190 YNL023C_mRNA
EAA27079 YOR020C_mRNA
EAA33945 YDR398W_mRNA
EAA30400 YDR145W_mRNA
ESA42745 YPR003C_mRNA
EAA32331 YNR046W_mRNA
EAA27550 YDL216C_mRNA
EAA31671 YLR146C_mRNA
EAA31671 YPR069C_mRNA
EAA33406 YNL139C_mRNA
EAA29337 YMR197C_mRNA
EAA27559 YLR022C_mRNA
EAA31656 YMR314W_mRNA
ESA42209 YER008C_mRNA
EAA30385 YBL064C_mRNA
EAA29736 YBL080C_mRNA
EAA33751 YDR329C_mRNA
EAA29959 YPL195W_mRNA
EAA27175 YGL180W_mRNA
EAA26885 YPL271W_mRNA
EAA36314 YFR010W_mRNA
EAA28720 YBR217W_mRNA
EAA30664 YOR001W_mRNA
ESA42008 YOL114C_mRNA
EAA33869 YBL074C_mRNA
EAA26607 YPL210C_mRNA
EAA27214 YIL068C_mRNA
EAA29590 YLR060W_mRNA
EAA26604 YGL065C_mRNA
ESA43295 YLR438W_mRNA
EAA34262 YOL140W_mRNA
EAA34878 YNL147W_mRNA
ESA43494 YMR253C_mRNA
ESA43494 YPL264C_mRNA
EAA31911 YMR125W_mRNA
EAA27728 YIL021W_mRNA
EAA32007 YDR189W_mRNA
EAA33165 YGL198W_mRNA
EAA32836 YBL024W_mRNA
EAA30278 YJR008W_mRNA
ESA43265 YDR268W_mRNA
EAA34967 YDR265W_mRNA
EAA35915 YHR076W_mRNA
EAA32366 YBR228W_mRNA
EAA35040 YBR234C_mRNA
EAA32232 YNL092W_mRNA
EAA27645 YPL012W_mRNA
EAA35059 YPL076W_mRNA
EAA34963 YGL031C_mRNA
EAA34963 YGR148C_mRNA
ESA44139 YER074W-A_mRNA
EDO64977 YNR043W_mRNA
EAA35030 YDR047W_mRNA
EAA26930 YLR389C_mRNA
EAA30767 YPL172C_mRNA
EAA31665 YGL143C_mRNA
EAA33023 YBL082C_mRNA
EAA30471 YDR335W_mRNA
EAA28537 YBR265W_mRNA
ESA42605 YBR265W_mRNA
EAA27425 YBR265W_mRNA
EDO65444 YCR060W_mRNA
EAA31868 YDR012W_mRNA
EAA31868 YBR031W_mRNA
ESA43665 YGR118W_mRNA
ESA43665 YPR132W_mRNA
EAA27014 YOR261C_mRNA
EAA36117 YPL151C_mRNA
EAA33799 YGL070C_mRNA
EAA31100 YNL288W_mRNA
EAA33359 YPL094C_mRNA
EAA34862 YAR003W_mRNA
EAA28248 YOL124C_mRNA
EAA35809 YGR258C_mRNA
EAA28509 YBL088C_mRNA
EAA27530 YDR062W_mRNA
EAA35576 YKL212W_mRNA
EAA32399 YJL063C_mRNA
EAA32173 YFL008W_mRNA
EAA29290 YDR257C_mRNA
EAA34717 YHR070W_mRNA
EAA30951 YNL220W_mRNA
EAA34807 YDR064W_mRNA
ESA42244 YLR212C_mRNA
EAA33454 YNL082W_mRNA
EAA28228 YGR020C_mRNA
EAA32277 YOR187W_mRNA
EAA31967 YLR382C_mRNA
EAA28849 YPL252C_mRNA
EAA35778 YPR112C_mRNA
EAA27020 YNR041C_mRNA
EAA28375 YPR108W_mRNA
EAA27729 YOR232W_mRNA
EAA31111 YLL018C_mRNA
EAA35505 YLL018C_mRNA
ESA43635 YDR109C_mRNA
EAA35934 YJL096W_mRNA
ESA43687 YBR181C_mRNA
ESA43687 YPL090C_mRNA
EAA27620 YKL149C_mRNA
EAA32884 YLR172C_mRNA
EAA31571 YDR529C_mRNA
EAA29773 YMR211W_mRNA
EAA27845 YFL022C_mRNA
EAA32258 YGR036C_mRNA
EAA33713 YPR067W_mRNA
ESA41866 YPR082C_mRNA
EAA31361 YGR063C_mRNA
EAA31424 YNL045W_mRNA
EAA33586 YNL118C_mRNA
EAA36521 YOR281C_mRNA
EAA32551 YDR180W_mRNA
EAA30542 YMR308C_mRNA
EAA35494 YGL127C_mRNA
EAA32075 YNL232W_mRNA
EAA36580 YJL180C_mRNA
EAA30408 YOL093W_mRNA
EAA32417 YKR087C_mRNA
EAA33336 YHR201C_mRNA
EAA30364 YDL146W_mRNA
EAA28457 YGL256W_mRNA
